CREATEDDATE,DISTRICT,FACILITYID,LASTUPDATEDDATE,LATITUDE,LONGITUDE,PERMITENTRANCEACCESSIBLE,PERMITENTRANCEDESCRIPTION,PERMITENTRANCEID,PERMITENTRANCENAME,PERMITENTRANCETYPE,TOWN
"2014-05-02 18:31:41","Tofte District","233396","2016-03-03 06:27:58","47.776","-91.4885","No","Method of travel is paddle. Access is a 20-rod portage to the Little Isabella River. Several short portages before you reach the Isabella River. For more information, please call the Tofte Ranger Station at 218-663-7280.","26","Little Isabella River (op)","Entry Point","Isabella"
"2014-05-02 18:31:41","Alpine Lakes","233273","2016-03-03 06:27:58","47.5285833333","-120.82","No","The Stuart Zone includes the Stuart Lake Trail from the trailhead to its end, and includes the entire Stuart Lake basin. The Stuart Zone also includes the Horseshoe Lake area, and much of the Mountaineer Creek drainage. Visitors with a Stuart Lake Zone permit may camp at any established campsite along the Stuart Lake trail, or at Stuart Lake. The Stuart Lake Trail gains about 1700 feet over 4.5 miles, at a fairly steady grade, making it an easier hike than going to Colchuck or Snow Lakes. Stuart Lake is in a mostly forested setting, with great views of Mount Stuart and offers good fishing. The permit zone boundary excludes climber bivouac sites immediately below Mount Stuart, Sherpa Peak, and Argonaut Peak, such as those near Goat Pass, where a permit is therefore not needed to camp. Visitors with pack or saddle stock are allowed in this area only from the first Saturday after Labor Day until year-end, and cannot camp within 200 feet of any lake.","27","Stuart  Zone","Entry Point - Zone 4",""
"2014-05-02 18:31:41","Alpine Lakes","233273","2016-03-03 06:27:58","47.5368888889","-120.812222222","No","The Eightmile/Caroline Permit Zone includes Eightmile and Little Eightmile Lakes, much of Eightmile Creek, both Caroline Lakes, the basin east of Windy Pass, and the ridge from Windy Pass to the summit of Mount Cashmere. The hike to the Eightmile Lakes is considered easy to moderate difficulty, gaining just 1200 feet of elevation in 3.3 miles. Reaching Lake Caroline, however, entails an additional 1700 foot elevation gain, and Windy Pass is another 1200 foot elevation climb beyond that. Eightmile Lake is mostly forested, but with expansive views of surrounding peaks. Lake Caroline is much smaller and more subalpine, and Windy Pass is well-named with its exposed, rugged setting at tree line. Visitors to this zone with pack or saddle stock must use the designated stock camp at Little Caroline Lake, or other suitable sites in the Windy Pass area, as stock are not allowed within 200 feet of any lake.","28","Eightmile/Caroline Zone","Entry Point - Zone 5",""
"2014-05-02 18:31:41","Alpine Lakes","233273","2016-03-03 06:27:58","47.5285833333","-120.82","No","The Colchuck Zone includes the entire Colchuck Lake Trail from its junction with the Stuart Lake Trail to a contour line mid-slope below Aasgard Pass, at 6500 feet (below the prominent waterfall.) Camping immediately below Aasgard Pass with a Colchuck permit is thus not allowed. The trail to Colchuck Lake is 4.2 miles long, gaining 2100 feet; the last 1.6 miles climbing steeply on a rougher tread. Colchuck Lake offers a subalpine setting with spectacular views of Aasgard Pass and Dragontail Peak. It serves as a good base camp for those wishing to visit the Core Enchantments without hauling a full pack. Visitors with a Colchuck Zone permit may camp in any established campsite at Colchuck Lake. Climbers may also use established bivouac sites below Colchuck Col and elsewhere in the upper Colchuck Lake basin. Visitors with a Colchuck Zone Permit may day-hike or climb throughout the Core Enchantment Zone, but must camp within the Colchuck Zone.","29","Colchuck Zone","Entry Point - Zone 3",""
"2014-05-02 18:31:41","Alpine Lakes","233273","2016-03-03 06:27:58","47.5442777778","-120.708055556","No","The Core Enchantment Zone includes not only the high lake basin typically called The Enchantments, but also Coney, Mesa, Earle, Shield, Toketie, and Crystal Lakes. Visitors with a Core Enchantment Zone Permit may use any established camp within that zone, and may also camp within the Colchuck Lake and Snow Lake Permit Zones while approaching or exiting the Core Enchantment Zone. Two trails access the Core Enchantment Zone; the same trails that access the Colchuck Lake and Snow Lake Zones. The approach via Colchuck Lake ascends steeply to Aasgard Pass, with loose rock and gravel underfoot and some boulder-hopping. The approach from Snow Lake is on more solid ground, but ascends exposed slabs of bedrock that can be treacherous, especially if wet or icy. By either route, most visitors will find themselves using their hands in places, even when conditions are good.","30","Core Enchantment Zone","Entry Point - Zone 1",""
"2014-05-02 18:31:41","Yosemite Wilderness","234652","2016-03-03 06:27:58","0","0","No","Rising nearly 5,000 feet above Yosemite Valley and 8,800 feet above sea level, Half Dome is a Yosemite icon and a great challenge to many hikers. Despite an 1865 report declaring it was perfectly inaccessible, being probably the only one of the prominent points about the Yosemite which never has been, and never will be, trodden by human foot, George Anderson reached the summit in 1875, in the process creating the predecessor to todays cable route.The 14 to 16-mile round-trip hike to Half Dome is not for you if youre out of shape or unprepared. You will be gaining elevation (a total of 4,800 feet) most of your way to the top of Half Dome. Most say the reward is worth the effort. Along the way, youll encounter outstanding views of Vernal and Nevada Falls, Liberty Cap, Half Dome, and--from the subdome and summit--panoramic views of Yosemite Valley and the High Sierra.","31","Half Dome Cables","Entry Point","Yosemite"
"2014-05-02 18:31:41","","233304","2016-03-03 06:27:58","63.7365805556","-148.897433333","No","Since the construction of Highway 3 in 1972, access to the interior of the park has mainly limited to bus service.  Beginning in the early 70s, anyone who wanted to could drive the road after the bus system shut down for the season in mid-September. In those early years, only a few intrepid souls braved the poor roads to get here and drive into the park.  As the years went by, the popularity of this opportunity to visit the park in late autumn grew. In the late 80s the open to all comers offer became unmanageable when almost 2000 vehicles per day came into the park. There were traffic jams, people camping illegally, problems with pets and wildlife, food storage and sanitation. In 1990, park management decided to implement a lottery where people could apply for a chance to drive the road over a period of four days after the bus season ended. Applications are accepted from May 1st to May 31st and winners are announced on June 15th.","32","Denali Road Entry","Entry Point",""
"2014-05-02 18:31:41","LaCroix District","233396","2016-03-03 06:27:58","48.2994444444","-92.4266666667","No","Method of travel is motor or paddle. Motor use OR possession requires an overnight motor permit (unlimited motor h.p.). Enter from Crane Lake. NOTE: This is NOT the entry point for Trout Lake (EP#1). Trip options for paddlers with additional portages. On US side, motors are only allowed up to edge of Snow Bay on Lac LaCroix.  For more information, please call the LaCroix Ranger District in Cook at 218-666-0020.","33","Little Vermilion Lake (op, om)","Entry Point","Cook"
"2014-05-02 18:31:41","Tofte District","233396","2016-03-03 06:27:58","47.7723972222","-91.387","No","Method of travel is paddle.  Access is a 232-rod portage into the lake.  Bog Lake has four campsites, and does not provide access to other lakes.  For more information, please call the Tofte Ranger Station at 218-663-7280.","34","Bog Lake (op)","Entry Point","Isabella"
"2014-05-02 18:31:41","LaCroix District","233396","2016-03-03 06:27:58","48.14271","-92.20774","No","Method of travel is paddle. Difficult route. NOTE: Use EP #14 for Little Indian Sioux travel NORTH of the Echo Trail. For more information, please call the LaCroix Ranger District in Cook at 218-666-0020.","35","Little Indian Sioux SOUTH (op)","Entry Point","Cook"
"2014-05-02 18:31:41","Kawishiwi District","233396","2016-03-03 06:27:58","48.0949998333","-91.989","No","Method of travel is paddle. Access is a 480 rod portage to the Stuart River.  For more information, please contact the Kawishiwi Ranger Station in Ely at 218-365-7561.","36","Stuart River (op)","Entry Point","Ely"
"2014-05-02 18:31:41","Gunflint District","233396","2016-03-03 06:27:58","48.0436111111","-90.0588888889","No","Method of travel is hiking. 53 mile hiking trail. Shorter options available. For more information, please call the Gunflint Ranger Station in Grand Marais at (218)387-1750.","37","Border Route Trail (east) (oh)","Entry Point","Grand Marais"
"2014-05-02 18:31:41","Kawishiwi District","233396","2016-03-03 06:27:58","47.9777777778","-91.4322898333","No","Method of travel is day use motor. 25 h.p. motor limit. For more information, please contact the Kawishiwi Ranger Station in Ely at 218-365-7561.","38","Snowbank Lake (dm)","Entry Point","Ely"
"2014-05-02 18:31:41","LaCroix District","233396","2016-03-03 06:27:58","48.12165","-92.2854398333","No","Method of travel is hiking. 8 miles of hiking trail or 2 mile option. No loop options. For more information, please call the LaCroix Ranger District in Cook at 218-666-0020.","39","Norway Trail (oh)","Entry Point","Cook"
"2014-05-02 18:32:16","LaCroix District","233396","2016-03-03 06:27:58","48.1457198333","-92.2102","No","Method of travel is paddle. Access is a 40-rod portage heading north from the Echo Trail to the river. Many trip options with additional portages. For more information, please call the LaCroix Ranger District in Cook at 218-666-0020.","40","Little Indian Sioux NORTH (op)","Entry Point","Cook"
"2014-05-02 18:32:16","Kawishiwi District","233396","2016-03-03 06:27:58","47.8911111111","-91.7377777778","No","Method of travel is paddle or motor. Motor use OR possession on South Farm Lake requires an overnight motor permit (25 h.p. maximum).  Paddlers access North Kawishiwi from Farm Lake.  Contact the Kawishiwi Ranger Station in Ely at 218-365-7561.","41","From Farm Lake (op,om)","Entry Point","Ely"
"2014-05-02 18:32:16","Kawishiwi District","233396","2016-03-03 06:27:58","48.0327777778","-91.8319444444","No","Method of travel is paddle. Three accesses into Mudro Lake involve portages ranging from 20 to 185 rods.  For more information, please contact the Kawishiwi Ranger Station in Ely at 218-365-7561.","42","Mudro Lake (op)","Entry Point","Ely"
"2014-05-02 18:32:16","Kawishiwi District","233396","2016-03-03 06:27:58","47.8911111111","-91.7377777778","No","Method of travel is day use motor. 25 h.p. motor limit. For more information, please contact the Kawishiwi Ranger Station in Ely at 218-365-7561.","43","South Farm Lake (dm)","Entry Point","Ely"
"2014-05-02 18:32:16","Kawishiwi District","233396","2016-03-03 06:27:58","47.9530555556","-91.7207898333","No","Method of travel is day use motor. 25 h.p. motor limit. Access is a boat landing at Fall Lake. Valid only on Fall Lake, not Newton or Basswood. For more information, please contact the Kawishiwi Ranger Station in Ely at 218-365-7561.","44","Fall Lake ONLY (dm)","Entry Point","Ely"
"2014-05-02 18:32:16","Gunflint District","233396","2016-03-03 06:27:58","48.1475","-90.8692972222","No","Method of travel is day use motor. 10 h.p. motor limit. No motors allowed (use or possession) west of Three Mile Island. For more information, please contact the Gunflint Ranger Station in Grand Marais at 218-387-1750.","45","Seagull Lake (dm)","Entry Point","Grand Marais"
"2014-05-02 18:32:16","Gunflint District","233396","2016-03-03 06:27:58","47.8652298333","-90.547256","No","Method of travel is hiking. The trail is 3.5 miles to the top (one way). Provides access to Brule lake Trail.  For more information, please call the Gunflint Ranger Station at 218-387-1750.","46","Eagle Mountain Trail (oh)","Entry Point","Grand Marais"
"2014-05-02 18:32:16","Kawishiwi District","233396","2016-03-03 06:27:58","47.9775","-91.4322222222","No","Method of travel is paddle. Access is a boat landing at Snowbank Lake. Must camp ALL NIGHTS on Snowbank Lake. (paddle day trips to other lakes are permitted) For more information, please contact the Kawishiwi Ranger Station in Ely at 218-365-7561.","47","Snowbank Lake RESTRICTED (op)","Entry Point","Ely"
"2014-05-02 18:32:16","Tofte District","233396","2016-03-03 06:27:58","47.83906","-91.10222","No","Method of travel is paddle. Access is a canoe landing at Kawishiwi Lake.  For more information, please call the Tofte Ranger District in Tofte at 218-663-7280.","48","Kawishiwi Lake (op)","Entry Point","Tofte"
"2014-05-02 18:32:16","Kawishiwi District","233396","2016-03-03 06:27:58","47.9883333333","-91.4977898333","No","Method of travel is day use motor. 25 h.p. motor limit. Valid only on Moose, Newfound, and Sucker Lakes, not Basswood Lake. For more information, please contact the Kawishiwi Ranger Station in Ely at 218-365-7561.","49","Moose-NEWFND-Sucker ONLY (DM,DC)","Entry Point","Ely"
"2014-05-02 18:32:16","Gunflint District","233396","2016-03-03 06:27:58","48.052768","-90.538931","No","Method of travel is paddle. Access from Poplar Lake (320-rod portage) or Iron Lake (230-rod portage). For more information, please call the Gunflint Ranger Station at 218-387-1750.","50","Skipper & Portage Lakes (op)","Entry Point","Grand Marais"
"2014-05-02 18:32:16","Kawishiwi District","233396","2016-03-03 06:27:58","47.939754","-91.47766","No","This is a restricted Lake One permit. Camping on the Kawishiwi River west of Confusion Lake is NOT allowed.Camping east and south of the Lake One landing IS allowed including Lakes One through Four, Hudson, Insula, and beyond.","51","Lake One #30F (op)","Entry Point","Ely"
"2014-05-02 18:32:16","LaCroix District","233396","2016-03-03 06:27:58","47.9337","-92.0268998333","No","Method of travel is paddle. Access from Burntside Lake with a 360-rod portage to Crab Lake. For more information, please contact the LaCroix Ranger Station in Cook at 218-666-0020.","52","Crab Lake (op)","Entry Point","Cook"
"2014-05-02 18:32:16","Tofte District","233396","2016-03-03 06:27:58","47.8009448333","-91.3149598333","No","Method of travel is paddle. Access is a 70 rod portage to the lake.  For more information, please call the Tofte Ranger Station in Tofte at 218-663-7280.","53","Isabella Lake (op)","Entry Point","Isabella"
"2014-05-02 18:32:16","Gunflint District","233396","2016-03-03 06:27:58","48.1820548333","-90.88616","No","Method of travel is paddle.  Must camp ALL nights on Saganaga Lake (day trips to other lakes are permitted). Large lake with many campsites and easy access. For more information, please call the Gunflint Ranger Station at 218-387-1750.","54","Saganaga Lake ONLY (op)","Entry Point","Grand Marais"
"2014-05-02 18:32:16","Tofte District","233396","2016-03-03 06:27:58","47.863503","-90.8874298333","No","Method of travel is paddle.  Access is a canoe landing at Sawbill Lake.  For more information, please call the Tofte Ranger Station in Tofte at 218-663-7280.","55","Sawbill Lake (op)","Entry Point","Tofte"
"2014-05-02 18:32:16","Gunflint District","233396","2016-03-03 06:27:58","48.039743","-90.5109498333","No","Method of travel is paddle.  Access from Poplar Lake by 51-rod portage to Lizz Lake and 100-rod portage to Swamp Lake.  NOTE: For entry at Meeds Lake see Entry Point #48.  For more information, please call the Gunflint Ranger Station at 218-387-1750.","56","Lizz and Swamp Lakes (op)","Entry Point","Grand Marais"
"2014-05-02 18:32:16","Gunflint District","233396","2016-03-03 06:27:58","48.0547222222","-90.0569444444","No","Method of travel is paddle.  Access from Little John Lake with a 10-rod portage to John Lake.  For more information, please call the Gunflint Ranger Station at 218-387-1750.","57","John Lake (op)","Entry Point","Grand Marais"
"2014-05-02 18:32:16","Gunflint District","233396","2016-03-03 06:27:58","48.1820548333","-90.886116","No","Method of travel is paddle or motor. 25 h.p. motor limit.  No motors (use or possession) west of American Point.  Access to Canada (the Crownland and Quetico Park). Large lake with many campsites and easy access.  For more information, please call the Gunflint Ranger Station at 218-387-1750.","58","Saganaga Lake (op,om)","Entry Point","Grand Marais"
"2014-05-02 18:32:16","","233396","2016-03-03 06:27:58","48.0466666667","-91.5561111111","No","Use only when trip originates in Canada, then passes into the BWCAW.","59","From Canada","Entry Point",""
"2014-05-02 18:32:16","Tofte District","233396","2016-03-03 06:27:58","47.8453","-90.8170098333","No","Method of travel is paddle. Access is a boat landing at Baker Lake with a 10 rod portage into Peterson lake to reach the first campsite. For more information, please call the Tofte Ranger Station in Tofte at 218-663-7280.","60","Baker Lake (op)","Entry Point","Tofte"
"2014-05-02 18:32:16","Gunflint District","233396","2016-03-03 06:27:58","48.0758333333","-90.8219444444","No","Method of travel is paddle.  Access is through the Cross River with a 50 and a 40-rod portage to Ham Lake and a 24 rod portage to Cross Bay Lake. Many trip options with additional portages. For more information, please call the Gunflint Ranger Station at 218-387-1750.","61","Cross Bay Lake (op)","Entry Point","Grand Marais"
"2014-05-02 18:32:16","LaCroix District","233396","2016-03-03 06:27:58","47.9144","-92.322","No","Method of travel is motor or paddle. 25 h.p. motor maximum. Motor use OR possession requires an overnight motor permit. Access is from Vermilion Lake via a 60-rod canoe portage or a 180-rod portage, which allows the use of portage wheels. For more information, please call the LaCroix Ranger District in Cook at 218-666-0020.","62","Trout Lake (op,om)","Entry Point","Cook"
"2014-05-02 18:32:16","Tofte District","233396","2016-03-03 06:27:58","47.774445","-91.52639","No","Method of travel is paddle. Access is a 160-rod portage to the river and several short portages before reaching Bald Eagle Lake. Another trip option is a 141-rod portage to the Isabella River.  For more information, please contact the Tofte Ranger Station in Tofte at 218-663-7280.","63","Snake River (op)","Entry Point","Isabella"
"2014-05-02 18:32:16","Kawishiwi District","233396","2016-03-03 06:27:58","47.959164","-91.5990698333","No","Method of travel is paddle. Access to Wood Lake is a 180 rod portage.  For more information, please contact the Kawishiwi Ranger Station in Ely at 218-365-7561.","64","Wood Lake (op)","Entry Point","Ely"
"2014-05-02 18:32:16","Kawishiwi District","233396","2016-03-03 06:27:58","47.9528","-91.7207898333","No","Method of travel is paddle or motor. Motor use OR possession requires an overnight motor permit (25 h.p. maximum).  Access to Basswood for motors or paddlers.  Portage wheels are allowed on Fall, Newton, Pipestone portages.  Contact the Kawishiwi Ranger Station in Ely at 218-365-7561.","65","Fall Lake (op,om)","Entry Point","Ely"
"2014-05-02 18:32:16","Tofte District","233396","2016-03-03 06:27:58","47.80078","-91.318115","No","Method of travel is hiking. 30 mile loop trail. For more information, please call the Tofte Ranger Station in Tofte at 218-663-7280.","66","Pow Wow Trail (oh)","Entry Point","Isabella"
"2014-05-02 18:32:16","LaCroix District","233396","2016-03-03 06:27:58","48.2183333333","-92.4661111111","No","Method of travel is hiking. 15 miles of trail accesses 4 lakes. Loop options. Three campsites accessible from the trail. For more information, please call the La Croix Ranger District in Cook at 218-666-0020","67","Herriman Lake Trail (oh)","Entry Point","Cook"
"2014-05-02 18:32:16","Kawishiwi District","233396","2016-03-03 06:27:58","47.939754","-91.47766","No","Method of travel is paddle. Access is a canoe landing at Lake One.  For more information, please contact the Kawishiwi Ranger Station in Ely at 218-365-7561.","68","Lake One (op)","Entry Point","Ely"
"2014-05-02 18:32:16","Kawishiwi District","233396","2016-03-03 06:27:58","47.8416666667","-91.6630555556","No","Method of travel is paddle. Access is a 140-rod portage to the river.  For more information, please contact the Kawishiwi Ranger Station in Ely at 218-365-7561.","69","South Kawishiwi River (op)","Entry Point","Ely"
"2014-05-02 18:32:16","Kawishiwi District","233396","2016-03-03 06:27:58","47.8422222222","-91.6313888889","No","Method of travel is paddle. Access is a 200-rod portage from the parking lot to Little Gabbro Lake.  For more information, please contact the Kawishiwi Ranger Station in Ely at 218-365-7561.","70","Little Gabbro Lake (op)","Entry Point","Ely"
"2014-05-02 18:32:16","Tofte District","233396","2016-03-03 06:27:58","47.9045868333","-90.66046","No","Method of travel is paddle. Access is a boat landing at Homer Lake.  For more information, please call the Tofte Ranger Station in Tofte at 218-663-7280.","71","Homer Lake (op)","Entry Point","Tofte"
"2014-05-02 18:32:16","Gunflint District","233396","2016-03-03 06:27:58","48.00139","-90.4097198333","No","Method of travel is paddle. Access is a 320-rod portage to Morgan Lake. No campsites on Morgan Lake- short portages to further lakes for campsites. For more information, please call the Gunflint Ranger Station at 218-387-1750.","72","Morgan Lake (op)","Entry Point","Grand Marais"
"2014-05-02 18:32:16","Gunflint District","233396","2016-03-03 06:27:58","48.0691666667","-90.8369444444","No","Method of travel is paddle.  Access is a canoe landing at Round Lake with a 142-rod portage to Missing Link.  For more information, please call the Gunflint Ranger Station at 218-387-1750.","73","Missing Link Lake (op)","Entry Point","Grand Marais"
"2014-05-02 18:32:16","Gunflint District","233396","2016-03-03 06:27:58","48.0847498333","-90.7563798333","No","Method of travel is paddle. Access Magnetic Lake and Granite River from Gunflint Lake. For more information, please call the Gunflint Ranger Station at 218-387-1750.","74","Magnetic Lake (op)","Entry Point","Grand Marais"
"2014-05-02 18:32:16","Gunflint District","233396","2016-03-03 06:27:58","48.0505555556","-90.0572222222","No","Method of travel is paddle.  Access through McFarland Lake with a 2-rod portage.  For more information, please call the Gunflint Ranger Station at 218-387-1750.","75","Pine Lake (op)","Entry Point","Grand Marais"
