ADDRESSCOUNTRYCODE,ADDRESSSTATECODE,CITY,LASTUPDATEDDATE,POSTALCODE,RECAREAADDRESSID,RECAREAADDRESSTYPE,RECAREAID,RECAREASTREETADDRESS1,RECAREASTREETADDRESS2,RECAREASTREETADDRESS3
"USA","MS","Sibley","2007-03-06","39165","795","","1617","76 Pintail Lane","",""
"USA","NC","Swan Quarter","2007-03-06","27885","797","","1631","38 Mattamuskeet Road","",""
"USA","LA","Tallulah","2007-03-06","71282","799","","1638","2312 Quebec Road","",""
"USA","ND","Cayuga","2007-03-06","58013","800","","1640","9754 143 ý Ave. S.E.","",""
"USA","OK","Tishomingo","2007-03-06","73460","801","","1644","12000 South Refuge Road","",""
"USA","WA","Toppenish","2007-03-06","","802","","1646","State Rte 97, 10 miles south of","",""
"USA","WA","Cheney","2007-03-06","99004","803","","1650","26010 South Smith Rd","",""
"USA","OR","Klamath Falls","2007-03-06","","804","","1655","Off Hwy 40 near","",""
"USA","NE","Valentine","2007-03-06","69201","805","","1659","HC 37 Box 37","",""
"USA","NH","Peterborough","2007-03-06","03468","806","","1662","Route 101","",""
"USA","OK","Butler","2007-03-06","73625","807","","1665","Rt. 1 Box 68","",""
"USA","NY","Shirley","2007-03-06","11967","808","","1669","360 Smith Rd.","",""
"USA","OK","Indiahoma","2007-03-21","73552","809","","1672","32 Refuge Headquarters","",""
"USA","CA","Susanville","2011-08-08","96130","811","","1680","Eagle Lake Field Office"," 2950 Riverside Dr."," "
"USA","CA","Cedarville","2011-08-09","96104","812","","1683","Surprise Field Office","602 Cressler Street, P.O. Box 460",""
"USA","CO","Kremmling","2011-07-27","80459","817","","1693","Kremmling Field Office","2103 E. Park Avenue","P.O. Box 68 "
"USA","CO","Montrose","2011-07-27","81401","818","","1694","Uncompahgre Basin Field Office","2465 South Townsend Avenue",""
"USA","CO","Del Norte","2011-07-27","81132","819","","1697","Del Norte Field Office","13308 West Highway 160"," "
"USA","WI","Milwaukee","2011-07-27","53202","821","","1701","Northeastern States Field Office ","626 E. Wisconsin Ave., Suite 200",""
"USA","WA","Spokane","2011-07-27","99212","823","","1706","Spokane District Office "," 1103 N Fancher Road "," "
"USA","CO","Kremmling","2011-08-09","80459","824","","1708","Kremmling Field Office","2103 E. Park Avenue","P.O. Box 68 "
"USA","CO","Dolores","2011-07-27","81323","826","","1710","Canyons of the Ancients National Monument/ Anasazi Heritage Center "," 27501 Highway 184"," "
"USA","NV","Carson City","2011-08-01","89701","827","","1712","Carson City District Office","5665 Morgan Mill Road",""
"USA","OR","North Bend","2011-08-01","97459","829","","1717","Coos Bay District","1300 Airport Lane",""
"USA","UT","St. George","2011-08-03","84790","830","","1720","St. George Field Office","345 East Riverside Drive",""
"USA","UT","Monticello","2011-08-03","84535","831","","1723","Monticello Field Office","365 North Main",""
"USA","WY","Lander","2011-07-28","82520","832","","1725","Lander Field Office ","1335 Main Street",""
"USA","OR","Baker City","2011-08-01","97814","833","","1726","National Historic Oregon Trail Interpretive Center","22267 Oregon Highway 86 ","P.O. Box 987 "
"USA","OR","North Bend","2011-08-01","97459","834","","1728","Coos Bay District","1300 Airport Lane ",""
"USA","UT","Kanab","2011-08-04","84741","836","","1732","Kanab Field Office","318 North 100 East",""
"USA","NM","Taos","2004-07-08","87571","837","","1736","Taos Field Office","226 Cruz Alta Road",""
"USA","CA","Bakersfield","2011-08-08","93308","839","","1740","Bakersfield Field Office","3801 Pegasus Drive",""
"USA","OR","North Bend","2011-08-02","97459","840","","1742","Coos Bay District ","1300 Airport Lane",""
"USA","CO","Grand Junction","2011-07-27","81506","841","","1747","McInnis Canyons National Conservation Area","2815 H Road",""
"USA","NV","Tonopah","2004-07-08","89049","842","","1749","P.O. Box 911","",""
"USA","OR","Medford","2011-08-02","97504","843","","1751","Medford District Office","3040 Biddle Road",""
"USA","OR","Springfield ","2011-08-02","97477","844","","1752","Eugene District ","3106 Pierce Parkway","Suite E "
"USA","OR","West Hines","2004-07-08","97738","847","","1758","28910 Highway 20","",""
"USA","CA","Ridgecrest","2011-08-09","93555","849","","1762","Ridgecrest Field Office","300 South Richmond Road",""
"USA","NM","Taos","2004-07-08","87571","852","","1769","Taos Field Office","226 Cruz Alta Road",""
"USA","OR","North Bend","2011-08-02","97459","853","","1773","Coos Bay District "," 1300 Airport Lane"," "
"USA","OR","Springfield","2011-08-02","97477","854","","1774","Eugene District ","3106 Pierce Parkway","Suite E"
"USA","OR","Springfield","2011-08-01","97477","855","","1775","Eugene District ","3106 Pierce Parkway","Suite E "
"USA","OR","Springfield","2011-08-01","97477","856","","1779","Eugene District ","3106 Pierce Parkway","Suite E "
"USA","WA","Wenatchee","2011-07-27","98801","858","","1784","915 Walla Walla"," "," "
"USA","WA","Spokane","2011-07-27","99212","861","","1789","Spokane District Office "," 1103 N Fancher Road "," "
"USA","OR","Springfield","2011-07-27","97477","862","","1791","Eugene District ","3106 Pierce Parkway Suite E",""
"USA","NV","Elko","2011-08-03","89801","867","","1810","Elko District Office","3900 E. Idaho Street",""
"USA","UT","St. George","2011-08-03","84790","868","","1811","St. George Field Office","345 E. Riverside Dr.",""
"USA","NV","Elko","2011-08-03","89801","869","","1814","Elko District Office","3900 E. Idaho Street",""
"USA","MT","Ennis","2004-07-09","59729","871","","1819","180 Fish Hatchery Road","",""
"USA","NV","Carson City","2011-08-03","89049","872","","1824","Carson City District Office","5665 Morgan Mill Rd",""
"USA","OR","Lakeview","2011-08-01","97630","874","","1827","Lakeview District Office","1301 South G Street",""
"USA","OR","Lakeview","2011-08-02","97630","875","","1828","Lakeview District Office","1301 South G Street",""
"USA","OR","Hines","2011-08-02","97738","876","","1830","Burns District "," 28910 Hwy 20 West"," "
"USA","NM","Socorro","2011-07-28","87801","882","","1839","Socorro Field Office","901 S. Highway 85",""
"USA","OR","Salem","2011-08-01","97306","885","","1843","Salem District Office","1717 Fabry Road, S.E.",""
"USA","NM","Las Cruces","2011-07-28","88005","886","","1844","Las Cruces District Office","1800 Marquess Street",""
"USA","NM","Taos","2004-07-08","87571","889","","1848","Taos Field Office","226 Cruz Alta Rd.",""
"USA","OR","Salem","2011-08-01","97306","891","","1850","Salem District Office"," 1717 Fabry Road, S.E."," "
"USA","OR","Eugene","2011-08-02","97477","892","","1853","Eugene District ","3106 Pierce Parkway","Suite E"
"USA","OR","Roseburg","2011-08-01","97470","893","","1854","Roseburg District Office","777 N.W. Garden Valley Boulevard"," "
"USA","OR","Roseburg","2011-08-01","97470","894","","1856","Roseburg District Office"," 777 N.W. Garden Valley Boulevard"," "
"USA","OR","Medford","2011-08-02","97504","895","","1857","Medford District Office","3040 Biddle Rd",""
"USA","OR","North Bend","2011-08-01","97459","896","","1859","Coos Bay District","1300 Airport Lane",""
"USA","OR","North Bend","2011-08-02","97459","897","","1861","Coos Bay District","1300 Airport Lane",""
"USA","UT","Price","2004-07-09","84501","898","","1866","125 South 600 West"," "," "
"USA","UT","Monticello","2011-08-03","84535","899","","1869","Monticello Field Office"," 365 North Main"," "
"USA","WY","Lander","2011-08-15","82520","900","","1871","Lander Field Office ","1335 Main Street",""
"USA","WY","Casper","2011-07-28","82604","901","","1874","Casper Field Office","2987 Prospector Drive",""
"USA","AZ","Yuma","2011-03-01","85365","902","","1881"," Bureau of Land Management","Yuma Field Office","2555 Gila Ridge Rd."
"USA","AZ","Yuma","2004-07-08","85365","903","","1885","2555 Gila Ridge Rd","",""
"USA","TN","Gray","2005-03-09","37615","904","","1890","Holston-Cherokee-Douglas Watershed Team","106 Tri-Cities Business Park Drive ","(WTR 1A-GRT)"
"USA","TN","Gray","2008-03-03","37615","905","","1895","Tennessee Valley Authority","Holston-Cherokee-Douglas Watershed Team","106 Tri-Cities Business Park Drive "
"USA","TN","Morristown","2008-02-26","37813-1270","906","","1897","Tennessee Valley Authority","Holston-Cherokee-Douglas Watershed Team","3726 E. Morris Boulevard"
"USA","TN","Lenoir City","2008-02-26","37772-5664","907","","1899","Tennessee Valley Authority","Watts Bar-Clinch Watershed Team","260 Interchange Park Drive, LCB 1A-LCT"
"USA","TN","Lenoir City","2008-02-26","37772-5664","908","","1901","Tennessee Valley Authority","Watts Bar-Clinch Watershed Team","260 Interchange Park Drive, LCB 1A-LCT"
"USA","TN","Lenoir City","2008-02-26","37772-5664","909","","1906","Tennessee Valley Authority","Little Tennessee Watershed Team","260 Interchange Park Drive, LCB 1A-LCT"
"USA","NC","Murphy","2005-04-14","28906","910","","1910","Tennessee Valley Authority","Chickamauga-Hiwassee Watershed Team","221 Old Ranger Road"
"USA","NC","Murphy","2005-04-14","28906","911","","1911","Tennessee Valley Authority","Chickamauga-Hiwassee Watershed Team","221 Old Ranger Road"
"USA","NC","Murphy","2008-02-26","28906","912","","1913","Tennessee Valley Authority","Chickamauga-Hiwassee Watershed Team","221 Old Ranger Road"
"USA","TN","Chattanooga","2004-07-08","37402-2801","913","","1916","Chickamauga/Nickajack","Watershed Team","1101 Market Street (PSC 1E-C)"
"USA","AL","Muscle Shoals","2008-02-26","35662-1010","958","","1975","Tennessee Valley Authority","Pickwick-Wheeler Watershed Team","P.O. Box 1010, SB 1H-M"
"USA","AL","Muscle Shoals","2005-04-14","35662-1010","959","","1977","Tennessee Valley Authority","Pickwick-Wheeler Watershed Team","Reservation Road, P.O. Box 1010"
"USA","AL","Muscle Shoals","2008-02-26","35662-1010","960","","1979","Tennessee Valley Authority","Pickwick-Wheeler Watershed Team","P.O. Box 1010, SB 1H-M"
"USA","TN","Lenoir City","2008-02-26","37772-5664","961","","1981","Tennessee Valley Authority","Little Tennessee Watershed Team","260 Interchange Park Drive, LCB 1A-LCT"
"USA","NV","Battle Mountain","2011-08-01","89820","970","","2027","Battle Mountain District Office"," 50 Bastian Road "," "
"USA","AZ","Safford","2011-03-01","85546-3321","971","","2034","BLM Safford Field Office","711 14th Avenue",""
"USA","AZ","Lake Havasu City","2004-07-08","86406","972","","2038","Lake Havasu Field Office","2610 Sweetwater Avenue",""
"USA","AZ","Safford","2010-09-22","85546","974","","2041","Safford Field Office","711 14th Ave.",""
"USA","UT","St. George","2011-08-03","84790","975","","2042","St. George Field Office","345 East Riverside Drive",""
"USA","AZ","Kingman ","2012-09-11","86406","976","","2046","Kingman Field Office","2755 Mission Boulevard",""
"USA","AZ","Lake Havasu City","2004-07-08","86406","977","","2048","Lake Havasu Field Office","2610 Sweetwater Ave.",""
"USA","AZ","Lake Havasu City","2004-07-08","86406","978","","2049","Lake Havasu Field Office","2610 Sweetwater Ave.",""
"USA","AZ","Lake Havasu City","2004-07-08","86406","979","","2051","Lake Havasu Field Office","2610 Sweetwater Avenue",""
"USA","NV","Ely","2011-08-01","89301","987","","2103","Ely Field Office","702 North Industrial Way, HC 33 Box 33500",""
"USA","NV","Ely","2011-08-01","89301","988","","2105","Ely Field Office","702 North Industrial Way, HC 33 Box 33500 ",""
"USA","NV","Carson City","2011-08-03","89701","989","","2106","Carson City District Office","5665 Morgan Mill Road",""
"USA","NV","Carson City","2011-08-01","89701","990","","2108","Carson City District Office","5665 Morgan Mill Road",""
"USA","NV","Elko","2004-07-08","89801","991","","2110","Elko Field Office","3900 E. Idaho Street",""
"USA","NV","Ely","2011-08-01","89301","992","","2112","Ely District Office","702 North Industrial Way, HC 33 Box 33500 ",""
"USA","NV","Ely","2011-08-01","89301","993","","2113","Ely District Office","702 North Industrial Way, HC33 Box 33500",""
"USA","NV","Winnemucca","2011-08-03","89445","994","","2114","Winnemucca District Office","5100 East Winnemucca Blvd.",""
"USA","NV","Las Vegas","2011-08-01","89130","995","","2115","Las Vegas Field Office","4701 North Torrey Pines Drive",""
"USA","NV","Ely","2011-08-01","89301","996","","2117","Ely District Office","702 North Industrial Way, HC 33 Box 33500",""
"USA","NV","Battle Mountain","2011-08-03","89820","997","","2119","Battle Mountain District Office","50 Bastian Road",""
"USA","NM","Farmington","2004-07-08","87401","999","","2127","Farmington Field Office-BLM","1235 La Plata Highway",""
"USA","UT","Price","2004-07-08","84501","1001","","2132","Price Field Office","125 South 600 West",""
"USA","UT","Monticello","2011-08-03","84535","1002","","2139","Monticello Field Office","365 North Main",""
"USA","UT","Cedar City","2011-08-03","84721","1003","","2143","Cedar City Field Office","176 East D.L. Sargent Drive",""
"USA","WA","San Juan County","2007-03-06","","1009","","2168","Northern Puget Sound","",""
"USA","OR","Oceanside","2007-03-06","","1011","","2176","1 mile off shore from ","",""
"USA","UT","St. George","2004-07-08","84790","1012","","2182","St. George Field Office","345 E. Riverside Drive",""
"USA","UT","Price","2004-07-08","84501","1013","","2184","Price Field Office","125 S. 600 W.",""
"USA","UT","Kanab","2011-08-03","84741","1014","","2185","Kanab Field Office","318 North 100 East",""
"USA","UT","Vernal","2004-07-08","84078","1015","","2189","Vernal Field Office","170 South 500 East",""
"USA","UT","Vernal","2004-07-08","84078","1016","","2191","Vernal Field Office","170 South 500 East",""
"USA","UT","Richfield","2004-07-08","84701","1017","","2195","Richfield Field Office","150 East 900 North",""
"USA","UT","Richfield","2011-08-03","84701","1018","","2196","Richfield Field Office","150 East 900 North",""
"USA","UT","Escalante","2011-08-03","84726","1019","","2198","Escalante Field Station","PO Box 225","(755 West Main Street)"
"USA","UT","St. George","2011-08-03","84790","1020","","2199","St. George Field Office","345 East Riverside Drive",""
"USA","UT","Fillmore","2011-08-03","84631","1021","","2200","Fillmore Field Office","95 East 500 North",""
"USA","UT","Salt Lake City","2004-07-08","84119","1023","","2209","Salt Lake Field Office","2370 South 2300 W.",""
"USA","UT","Vernal","2004-07-08","84078","1024","","2212","Vernal Field Office","170 South 500 East",""
"USA","UT","Fillmore","2011-08-04","84631","1025","","2214","Fillmore Field Office","95 East 500 North",""
"USA","WY","Buffalo","2004-07-08","82834","1027","","2219","Buffalo Field Office","1425 Fort Street"," "
"USA","WY","Buffalo","2011-08-15","82834","1028","","2220","Buffalo Field Office","1425 Fort Street",""
"USA","WY","Casper","2011-07-28","82604","1029","","2224","Casper Field Office","2987 Prospector Drive",""
"USA","WY","Rawlins","2004-07-08","82301","1030","","2229","Rawlins Field Office","1300 North Third Street",""
"USA","WY","Pinedale","2011-07-28","82941","1031","","2238","Pinedale Field Office","1625 West Pine Street","PO Box 768"
"USA","WY","Kemmerer","2011-08-15","83101-9711","1032","","2242","Kemmerer Field Office","312 Highway 189 North",""
"USA","WY","Rock Springs","2004-07-08","82901","1033","","2247","Rock Springs Field Office","280 Highway 191 North",""
"USA","WY","Casper","2011-07-28","82604","1034","","2250","Casper Field Office","2987 Prospector Drive",""
"USA","WY","Rock Springs","2004-07-08","82901","1035","","2252","Rock Springs Field Office","280 Highway 191 North",""
"USA","AZ","Safford","2010-09-22","85546-3321","1037","","2270","Safford Field Office","711 14th Avenue",""
"USA","AZ","Safford","2004-07-08","85546-3321","1041","","2290","Bureau of Land Management","Safford Field Office","711 14th Avenue"
"USA","NE","Bayard","2004-07-09","69334","1141","","2635","PO Box F","",""
"USA","SC","Sullivan&#39;s Island","2008-08-13","29482","1154","","2696","1214 Middle Street","",""
"USA","IL","Lockport","2004-07-09","60441","1171","","2765","201 W. Tenth St.,  #1-SE","",""
"USA","WA","Sedro-Woolley","2011-04-26","98284","1212","","2906","North Cascades National Park Complex","810 State Route 20",""
"USA","AZ","Phoenix","2012-09-18","85027","1249","","3110","Lower Sonoran Field Office","Sonoran Desert National Monument","21605 N. 7th Ave"
"USA","CA","Bakersfield","2004-07-09","93308","1250","","3112","Bakersfield Field Office","3801 Pegasus Avenue",""
"USA","OR","Medford","2011-08-01","97504","1253","","3119","Medford District Office","3040 Biddle Road",""
"USA","WY","Casper","2011-07-28","82601","1254","","3121","National Historic Trails Interpretive Center","1501 North Poplar Street",""
"USA","AK","Fairbanks","2008-12-29","99709","1256","","3125","Bureau of Land Management","Fairbanks District Office","1150 University Avenue"
"USA","NV","Denio","2007-03-06","","1263","","3922","Hwy 40, 14 miles west of","",""
"USA","CA","Tulare County","2007-03-06","","1264","","3933","35 miles south of Tulare in","",""
"USA","FL","Crystal River","2007-03-06","34429","1269","","3948","1502 S.E. Kings Bay Drive","",""
"USA","OK","Vian","2007-03-06","74962","1271","","3958","Rt. 1 Box 18 A","",""
"USA","NM","Socorro","2007-03-06","87801","1272","","3962","P.O.Box 1248","",""
"USA","NM","Las Cruces","2011-05-02","88012","1273","","3963","5686 Santa Gertrudis Dr.","",""
"USA","OH","Lake Erie","2007-03-06","","1274","","4000","","",""
"USA","PR","Vieques","2007-03-06","00765","1275","","4002","P.O. Box 1527","",""
"USA","LA","Farmerville","2007-03-06","71241","1278","","4014","11372 Hwy 143","",""
"USA","MO","Iron County","2007-03-06","","1281","","4020","","",""
"USA","ME","Rockport","2007-03-06","04856","1291","","4064","PO Box 495","",""
"USA","MO","Springfield","2004-07-09","65807","1293","","4074","500 West Sunshine","",""
"USA","ND","Cayuga","2007-02-20","58013","1297","","4098","9754 143 1/2 Avenue SE","",""
"USA","ND","Devils Lake","2007-02-20","58301 ","1299","","4100","c/o Devils Lake Wetland Management District ","221 2nd Street West","P.O. Box 908"
"USA","VA","Lorton","2004-07-08","22079","1301","","4110","10705 Belmont Blvd","",""
"USA","OR","North Bend","2011-08-01","97459","1356","","582","Coos Bay District","1300 Airport Lane",""
"USA","AK","Anchorage","2011-07-19","99507","1357","","583","4700 BLM Road"," "," "
"USA","AK","Anchorage","2011-07-19","99507","1358","","584","4700 BLM Road "," "," "
"USA","CA","Alturas","2011-08-08","96101","1361","","1210","Alturas Field Office","708 W. 12th St.",""
"USA","WY","Alcova","2007-03-06","","1415","","1558","","",""
"USA","NC","Rodanthe","2007-03-06","27968","1416","","1561","NC 12 south","for shipping:  708 N Hwy 64, Manteo, NC 27954;",""
"USA","WA","Spokane","2011-07-27","99212","1417","","1794","Spokane District Office "," 1103 N Fancher"," "
"USA","ID","Cottonwood","2011-07-29","83522","1421","","2074","Cottonwood Field Office ","1 Butte Drive",""
"USA","MA","Sunderland","2007-03-21","01375","1604","","114","103 East Plumtree Road","",""
"USA","AK","Fairbanks","2008-12-29","99709","1785","","588","Bureau of Land Management"," Fairbanks District Office"," 1150 University Avenue"
"USA","AZ","Kingman","2011-03-10","86401","1787","","591","Kingman Field Office","2755 Mission Boulevard",""
"USA","AZ","Sierre Vista","2004-07-09","85635","1789","","595","1763 Paseo San Luis","",""
"USA","AK","Glennallen","2011-07-19","99588","1790","","599","BLM Glennallen Field Office","Mile 186.5 Glenn Highway"," P.O. Box 147"
"USA","AK","Fairbanks","2004-07-08","99709","1791","","600","1150 University Avenue","",""
"USA","AZ","Yuma","2011-07-19","85365","1792","","602","Bureau of Land Management","Yuma Field Office","2555 East Gila Ridge Road"
"USA","HI","Honolulu","2004-07-08","96815","1793","","604","Battery Randolph, Bldg 32, Kalia Rd","Fort DeRussy, Waikiki Beach",""
"USA","CA","El Dorado Hills","2011-08-08","95762","1795","","609","Mother Lode Field Office","5152 Hillsdale Circle",""
"USA","CA","El Dorado Hills","2011-08-09","95762","1797","","612","Mother Lode Field Office","5152 Hillsdale Circle",""
"USA","CA","El Dorado Hills","2011-08-08","95762","1798","","614","Mother Lode Field Office"," 5152 Hillsdale Circle"," "
"USA","CA","Bakersfield","2011-08-09","93308","1799","","615","Bakersfield Field Office","3801 Pegasus Drive",""
"USA","CA","Ridgecrest","2011-08-08","93555","1800","","618","Ridgecrest Field Office","300 S. Richmond Rd.",""
"USA","AZ","Safford","2004-07-09","85546","1801","","620","711 14th Avenue","",""
"USA","ID","Boise","2011-07-29","83705","1803","","625","Four Rivers Field Office","3948 Development Avenue",""
"USA","CA","Redding","2004-07-08","96002","1808","","979","Redding Field Office","355 Hemsted Drive",""
"USA","OR","North Bend","2011-08-01","97459","1809","","982","Coos Bay District"," 1300 Airport Lane"," "
"USA","OR","Bend","2004-07-08","97701","1859","","1103","1645 Highway 20 East","",""
"USA","SD","Belle Fourche","2011-07-27","57717","1883","","1150","South Dakota Field Office ","310 Roundup Street",""
"USA","CO","Canon City","2011-07-27","81212","1891","","1163","Royal Gorge Field Office","3028 East Main Street",""
"USA","CA","Palm Springs","2011-08-08","92262","1897","","1175","Palm Springs South Coast Field Office"," 1201 Bird Center Drive"," "
"USA","CA","Barstow","2011-08-08","92311","1900","","1180","Barstow Field Office"," 2601 Barstow Rd."," "
"USA","CA","Barstow","2011-08-08","92311","1901","","1181","Barstow Field Office","2601 Barstow Rd.",""
"USA","CO","Grand Junction","2004-07-08","81230","1902","","1182","National Park Service","102 Elk Creek",""
"USA","CA","Barstow","2011-08-08","92311","1911","","1197","Barstow Field Office","2601 Barstow Rd.",""
"USA","UT","Vernal","2011-08-03","84078","1919","","1220"," Vernal Field Office","170 South 500 East"," "
"USA","CA","Barstow","2011-08-08","92311","1928","","1236","Barstow Field Office","2601 Barstow Road",""
"USA","AK","Anchorage","2011-07-19","99507","1949","","1269","4770 BLM Road","",""
"USA","LA","Farmerville","2007-03-06","71241","2015","","1369","11372 Hwy 143  ","",""
"USA","LA","Farmerville ","2007-03-06","71241","2094","","1491","11372 Hwy 143","",""
"USA","VA","Lorton","2007-03-21","22079","2101","","1501","7603 High Point Rd","",""
"USA","MT","Moiese","2004-07-08","59824","2122","","1531","132 Bison Range Rd."," "," "
"USA","FL","Big Pine Key","2007-03-06","33043","2123","","1533","179 key Deer Blvd.","Big Pine Key Plaza",""
"USA","IA","Prairie City","2007-03-06","50228","2124","","1534","9981 Pacific Street","",""
"USA","WI","Necedah","2007-03-06","54646","2125","","1535","W7996 20th St. W","",""
"USA","RI","Charlestown","2007-03-06","02813","2127","","1537","50 Bend Road","",""
"USA","NE","Scottsbluff","2007-03-06","69631","2128","","1539","115 Railway Street","",""
"USA","MT","Moiese","2007-03-06","59824","2129","","1540","132 Bison Range Road","",""
"USA","AK","Galena","2007-03-06","99741","2130","","1541","101 Front St.","P.O. Box 287",""
"USA","OR","Bandon","2007-03-06","","2133","","1546","11th St, off U.S. Highway 101","",""
"USA","OH","Oak Harbor","2007-03-06","43449","2134","","1547","14000 West State Route 2","",""
"USA","UT","Randlett","2007-03-06","84063","2135","","1548","HC 69 Box 232","",""
"USA","MA","Harvard","2007-03-06","01451","2136","","1550","Still River Depot Road","",""
"USA","ID","Oxford","2007-03-06","","2137","","1551","Just east of the village of","",""
"USA","NY","Oyster Bay","2007-03-06","11771","2138","","1552","N/A","",""
"USA","NV","Alamo","2007-03-06","89001","2139","","1555","Milepost 32, Hwy 93","",""
"USA","NC","Wadesboro","2007-03-06","28170","2140","","1562","Rt. 1, Box 92 - Hwy. 52 N","",""
"USA","GA","Round Oak","2004-07-08","31038-2821","2142","","1565","718 Juliette Rd.","",""
"USA","GA","Savannah","2007-03-06","31405","2143","","1566","Administrative Office - 1000 Business Center Drive","Suite 10",""
"USA","NC","Columbia","2007-03-06","27925","2145","","1569","205 South Ludington Drive","",""
"USA","AR","Lockesburg","2007-03-06","71846","2146","","1570","1958 Central Road","",""
"USA","VA","Hopewell, Chesterfield Co.","2007-03-06","","2147","","1572","","",""
"USA","DE","Milton","2007-03-06","19968","2148","","1573","11978 Turkle Pond Road","",""
"USA","KS","Stafford","2007-03-06","67578","2149","","1574","RR 3, Box 48A","",""
"USA","ME","Wells","2007-03-06","04090","2150","","1575","321 Port Road","",""
"USA","VA","Warsaw","2007-03-06","22572","2151","","1577","336 Wilna Road","",""
"USA","MT","Lima","2007-03-06","59739","2152","","1578","27820 Southside Centennial Rd.","",""
"USA","TN","Union City","2007-03-06","38261","2153","","1579","4343 Highway 157","",""
"USA","MN","McGregor","2007-03-06","55760","2154","","1580","36289 State Highway 65","",""
"USA","NC","Windsor","2007-03-06","27983","2155","","1582","114 W. Water Street","",""
"USA","CO","Commerce City","2007-03-06","80022","2156","","1583","7200 Quebec Street Bldg 121","",""
